variavel,comparacao,comparacao_en,ajuste,r_median,prop_sig,scenario
agbd,FOD - FOM,DOF–MOF,Bonferroni,0.3662735764243248,0.904,S_sens090
agbd,FOD - FOM,DOF–MOF,FDR,0.3662735764243248,0.966,S_sens090
altura_dossel,FED - FES,SDF–SSdF,Bonferroni,0.47800814266708036,1,S_sens090
altura_dossel,FED - FES,SDF–SSdF,FDR,0.47800814266708036,1,S_sens090
altura_dossel,FED - FOD,SDF–DOF,Bonferroni,0.11366530466220684,0.09,S_sens090
altura_dossel,FED - FOD,SDF–DOF,FDR,0.11366530466220684,0.216,S_sens090
altura_dossel,FED - FOM,SDF–MOF,Bonferroni,0.38349616017949806,0.96,S_sens090
altura_dossel,FED - FOM,SDF–MOF,FDR,0.38349616017949806,0.994,S_sens090
altura_dossel,FES - FOD,SSdF–DOF,Bonferroni,0.3751596831980166,0.892,S_sens090
altura_dossel,FES - FOD,SSdF–DOF,FDR,0.3751596831980166,0.958,S_sens090
altura_dossel,FES - FOM,SSdF–MOF,Bonferroni,0.10092010935710842,0.024,S_sens090
altura_dossel,FES - FOM,SSdF–MOF,FDR,0.10092010935710842,0.124,S_sens090
altura_dossel,FOD - FOM,DOF–MOF,Bonferroni,0.2752733928368952,0.6,S_sens090
altura_dossel,FOD - FOM,DOF–MOF,FDR,0.2752733928368952,0.79,S_sens090
cover,FED - FES,SDF–SSdF,Bonferroni,0.060207186500352707,0.008,S_sens090
cover,FED - FES,SDF–SSdF,FDR,0.060207186500352707,0.03,S_sens090
cover,FED - FOD,SDF–DOF,Bonferroni,0.34243904084893084,0.868,S_sens090
cover,FED - FOD,SDF–DOF,FDR,0.34243904084893084,0.926,S_sens090
cover,FED - FOM,SDF–MOF,Bonferroni,0.053249925162986426,0.002,S_sens090
cover,FED - FOM,SDF–MOF,FDR,0.053249925162986426,0.018,S_sens090
cover,FES - FOD,SSdF–DOF,Bonferroni,0.37040686269365,0.864,S_sens090
cover,FES - FOD,SSdF–DOF,FDR,0.37040686269365,0.926,S_sens090
cover,FES - FOM,SSdF–MOF,Bonferroni,0.06261883928742945,0.008,S_sens090
cover,FES - FOM,SSdF–MOF,FDR,0.06261883928742945,0.036,S_sens090
cover,FOD - FOM,DOF–MOF,Bonferroni,0.35841937635866783,0.848,S_sens090
cover,FOD - FOM,DOF–MOF,FDR,0.35841937635866783,0.912,S_sens090
fhd_normal,FED - FES,SDF–SSdF,Bonferroni,0.4645053255618114,0.998,S_sens090
fhd_normal,FED - FES,SDF–SSdF,FDR,0.4645053255618114,1,S_sens090
fhd_normal,FED - FOD,SDF–DOF,Bonferroni,0.09230891936267047,0.052,S_sens090
fhd_normal,FED - FOD,SDF–DOF,FDR,0.09230891936267047,0.142,S_sens090
fhd_normal,FED - FOM,SDF–MOF,Bonferroni,0.36041820729470764,0.928,S_sens090
fhd_normal,FED - FOM,SDF–MOF,FDR,0.36041820729470764,0.988,S_sens090
fhd_normal,FES - FOD,SSdF–DOF,Bonferroni,0.389213868612951,0.9,S_sens090
fhd_normal,FES - FOD,SSdF–DOF,FDR,0.389213868612951,0.96,S_sens090
fhd_normal,FES - FOM,SSdF–MOF,Bonferroni,0.10753273033814742,0.038,S_sens090
fhd_normal,FES - FOM,SSdF–MOF,FDR,0.10753273033814742,0.136,S_sens090
fhd_normal,FOD - FOM,DOF–MOF,Bonferroni,0.2766505830664933,0.628,S_sens090
fhd_normal,FOD - FOM,DOF–MOF,FDR,0.2766505830664933,0.796,S_sens090
pai,FED - FES,SDF–SSdF,Bonferroni,0.060758622088247644,0.008,S_sens090
pai,FED - FES,SDF–SSdF,FDR,0.060758622088247644,0.028,S_sens090
pai,FED - FOD,SDF–DOF,Bonferroni,0.34326532258515646,0.87,S_sens090
pai,FED - FOD,SDF–DOF,FDR,0.34326532258515646,0.924,S_sens090
pai,FED - FOM,SDF–MOF,Bonferroni,0.052147476869325415,0.002,S_sens090
pai,FED - FOM,SDF–MOF,FDR,0.052147476869325415,0.018,S_sens090
pai,FES - FOD,SSdF–DOF,Bonferroni,0.3704063178809037,0.874,S_sens090
pai,FES - FOD,SSdF–DOF,FDR,0.3704063178809037,0.922,S_sens090
pai,FES - FOM,SSdF–MOF,Bonferroni,0.06399643816917727,0.008,S_sens090
pai,FES - FOM,SSdF–MOF,FDR,0.06399643816917727,0.032,S_sens090
pai,FOD - FOM,DOF–MOF,Bonferroni,0.35525052359651144,0.842,S_sens090
pai,FOD - FOM,DOF–MOF,FDR,0.35525052359651144,0.908,S_sens090
agbd,FED - FES,SDF–SSdF,Bonferroni,0.41132743856558057,0.974,S_sens095
agbd,FED - FES,SDF–SSdF,FDR,0.41132743856558057,0.998,S_sens095
agbd,FED - FOD,SDF–DOF,Bonferroni,0.06606336031748795,0.004,S_sens095
